fpr,tpr
0.000000000000000000e+00,2.140287769784172678e-01
0.000000000000000000e+00,2.152278177458033515e-01
0.000000000000000000e+00,2.170263788968825047e-01
0.000000000000000000e+00,2.188249400479616302e-01
0.000000000000000000e+00,2.200239808153477139e-01
0.000000000000000000e+00,2.218225419664268672e-01
0.000000000000000000e+00,2.224220623501199090e-01
0.000000000000000000e+00,2.260191846522781878e-01
0.000000000000000000e+00,2.290167865707433970e-01
0.000000000000000000e+00,2.308153477218225502e-01
0.000000000000000000e+00,2.320143884892086339e-01
0.000000000000000000e+00,2.362110311750599545e-01
0.000000000000000000e+00,2.386091127098321218e-01
0.000000000000000000e+00,2.392086330935251914e-01
0.000000000000000000e+00,2.416067146282973588e-01
0.000000000000000000e+00,2.440047961630695539e-01
0.000000000000000000e+00,2.458033573141486794e-01
0.000000000000000000e+00,2.470023980815347631e-01
0.000000000000000000e+00,2.476019184652278049e-01
0.000000000000000000e+00,2.500000000000000000e-01
0.000000000000000000e+00,2.505995203836930418e-01
0.000000000000000000e+00,2.541966426858512929e-01
0.000000000000000000e+00,2.553956834532374320e-01
0.000000000000000000e+00,2.559952038369304739e-01
0.000000000000000000e+00,2.583932853717026412e-01
0.000000000000000000e+00,2.589928057553956831e-01
0.000000000000000000e+00,2.607913669064748086e-01
0.000000000000000000e+00,2.649880095923261569e-01
0.000000000000000000e+00,2.661870503597122406e-01
0.000000000000000000e+00,2.679856115107913661e-01
0.000000000000000000e+00,2.715827338129496171e-01
0.000000000000000000e+00,2.721822541966426590e-01
0.000000000000000000e+00,2.733812949640287981e-01
0.000000000000000000e+00,2.751798561151079237e-01
0.000000000000000000e+00,2.763788968824940073e-01
0.000000000000000000e+00,2.775779376498800910e-01
0.000000000000000000e+00,2.787769784172661747e-01
0.000000000000000000e+00,2.823741007194244812e-01
0.000000000000000000e+00,2.859712230215827322e-01
0.000000000000000000e+00,2.865707434052757741e-01
0.000000000000000000e+00,2.877697841726618577e-01
0.000000000000000000e+00,2.895683453237409832e-01
0.000000000000000000e+00,2.931654676258992898e-01
0.000000000000000000e+00,2.961630695443644989e-01
0.000000000000000000e+00,2.967625899280575408e-01
0.000000000000000000e+00,2.985611510791366663e-01
0.000000000000000000e+00,2.997601918465228055e-01
0.000000000000000000e+00,3.009592326139088891e-01
0.000000000000000000e+00,3.015587529976019310e-01
0.000000000000000000e+00,3.075539568345323493e-01
0.000000000000000000e+00,3.087529976019184885e-01
0.000000000000000000e+00,3.111510791366906559e-01
0.000000000000000000e+00,3.117505995203836977e-01
0.000000000000000000e+00,3.129496402877697814e-01
0.000000000000000000e+00,3.147482014388489069e-01
0.000000000000000000e+00,3.159472422062349906e-01
0.000000000000000000e+00,3.171462829736211297e-01
0.000000000000000000e+00,3.183453237410072134e-01
0.000000000000000000e+00,3.195443645083932971e-01
0.000000000000000000e+00,3.201438848920863389e-01
0.000000000000000000e+00,3.237410071942445899e-01
0.000000000000000000e+00,3.267386091127098546e-01
0.000000000000000000e+00,3.279376498800959383e-01
0.000000000000000000e+00,3.285371702637889801e-01
0.000000000000000000e+00,3.297362110311750638e-01
0.000000000000000000e+00,3.309352517985611475e-01
0.000000000000000000e+00,3.321342925659472312e-01
0.000000000000000000e+00,3.333333333333333148e-01
0.000000000000000000e+00,3.405275779376498724e-01
0.000000000000000000e+00,3.423261390887289979e-01
0.000000000000000000e+00,3.459232613908873044e-01
0.000000000000000000e+00,3.471223021582733881e-01
0.000000000000000000e+00,3.489208633093525136e-01
0.000000000000000000e+00,3.501199040767385973e-01
0.000000000000000000e+00,3.519184652278177228e-01
0.000000000000000000e+00,3.525179856115107646e-01
0.000000000000000000e+00,3.537170263788969038e-01
0.000000000000000000e+00,3.549160671462829875e-01
0.000000000000000000e+00,3.573141486810551548e-01
0.000000000000000000e+00,3.597122302158273222e-01
0.000000000000000000e+00,3.621103117505995450e-01
0.000000000000000000e+00,3.633093525179856287e-01
0.000000000000000000e+00,3.645083932853717124e-01
0.000000000000000000e+00,3.669064748201438797e-01
0.000000000000000000e+00,3.687050359712230052e-01
0.000000000000000000e+00,3.693045563549160470e-01
0.000000000000000000e+00,3.705035971223021307e-01
0.000000000000000000e+00,3.723021582733813117e-01
0.000000000000000000e+00,3.747002398081534791e-01
0.000000000000000000e+00,3.752997601918465209e-01
0.000000000000000000e+00,3.770983213429256464e-01
0.000000000000000000e+00,3.776978417266186883e-01
0.000000000000000000e+00,3.794964028776978693e-01
0.000000000000000000e+00,3.818944844124700366e-01
0.000000000000000000e+00,3.866906474820143713e-01
0.000000000000000000e+00,3.872901678657074132e-01
0.000000000000000000e+00,3.890887290167865942e-01
0.000000000000000000e+00,3.902877697841726778e-01
0.000000000000000000e+00,3.926858513189448452e-01
